Business Name,UBI#,Business Type,Principal Office Address,Registered Agent Name,Status
"KARY CHIROPRACTIC CLINIC, P.L.L.C.",602 340 515,WA PROFESSIONAL LIMITED LIABILITY COMPANY,"660 JADWIN SUITE A, RICHLAND, WA, 99352, UNITED STATES",ANDREA C KARY DC,Active
"KAUFMAN CHIROPRACTIC CLINIC, INCORPORATED, P.S.",601 224 314,WA PROFESSIONAL SERVICE CORPORATION,"18920 B0THELL WAY NE STE 100, BOTHELL, WA, 98011-0000, UNITED STATES",MICHAEL D KAUFMAN,Active
"KEEHN CHIROPRACTIC CLINIC, P.S.",600 424 793,WA PROFESSIONAL SERVICE CORPORATION,"1241 STATE AVE STE 101, MARYSVILLE, WA, 98270-3612, UNITED STATES",STEPHEN KEEHN DC,Active
KEEZER CHIROPRACTIC & SPINAL REHAB CENTER INC.,602 368 620,WA PROFIT CORPORATION,"3701 COLBY AVE, EVERETT, WA, 98201, UNITED STATES",DONNA MARSHALL,Active
"KELLEY C. SILON CHIROPRACTIC CLINIC, LLC",602 659 968,WA LIMITED LIABILITY COMPANY,"200 EAST 25TH STREET, VANCOUVER, WA, 98663, UNITED STATES",KELLEY SILON,Inactive
"KELLEY CHIROPRACTIC WELLNESS CENTER, PLLC",602 376 954,WA PROFESSIONAL LIMITED LIABILITY COMPANY,"12305 120TH AVE NE STE A, KIRKLAND, WA, 98034, UNITED STATES",JOSEPH KELLEY DC,Administratively Dissolved
"KELLY CHIROPRACTIC, P.S.",602 143 674,WA PROFESSIONAL SERVICE CORPORATION,"2319 NE 159TH, VANCOUVER, WA, 98684, UNITED STATES",THOMAS J KELLY,Active
"KENT CHIROPRACTIC CLINIC, P.S.",600 447 898,WA PROFESSIONAL SERVICE CORPORATION,,TODD S RAYAN,Administratively Dissolved
KENT CHIROPRACTIC PLLC,603 004 737,WA PROFESSIONAL LIMITED LIABILITY COMPANY,,ISLAM WARDAK,Administratively Dissolved
"KENT KANGLEY CHIROPRACTIC, INC.",602 196 981,WA PROFIT CORPORATION,"15220 SE 272ND ST STE D, KENT, WA, 98042-4241, UNITED STATES",KEVIN ANDERSEN,Active
"KENT STATION CHIROPRACTIC & MASSAGE, PS",602 802 879,WA PROFESSIONAL SERVICE CORPORATION,"4508 AUBURN WAY N STE C, AUBURN, WA, 98002, UNITED STATES",DR. ROGER L WHITE,Administratively Dissolved
"KENT TACOMA CHIROPRACTIC, P.S.",603 556 334,WA PROFESSIONAL SERVICE CORPORATION,"26412 104TH AVE SE, KENT, WA, 98030, UNITED STATES",LTP CONSULTING  LLC,Active
"KEY CENTER CHIROPRACTIC AND MASSAGE, LLC",604 370 048,WA LIMITED LIABILITY COMPANY,"9013 KEY PENINSULA HWY NW, LAKEBAY, WA, 98349-8518, UNITED STATES",NATHANIEL HOVE,Active
"KEY CENTER CHIROPRACTIC, P.S., INC.",602 106 564,WA PROFESSIONAL SERVICE CORPORATION,"9013 KEY PENINSULA HWY, LAKEBAY, WA, 98349, UNITED STATES",DAVID KRYMPEC,Active
"KI CHIROPRACTIC, PLLC",602 802 935,WA PROFESSIONAL LIMITED LIABILITY COMPANY,"9500 ROOSEVELT WAY NE STE 302, SEATTLE, WA, 98115-2253, UNITED STATES",CONNIE AMUNDSON,Active
KIM'S CHIROPRACTIC CLINIC INC,604 336 308,WA PROFIT CORPORATION,,TRAN NGUYEN,Administratively Dissolved
"KINETIC CHIROPRACTIC, P.S.",601 979 681,WA PROFESSIONAL SERVICE CORPORATION,,BRIAN KELLY,Inactive
"KING PLAZA CHIROPRACTIC, INC",603 451 899,WA PROFIT CORPORATION,"6951 M L KING JR. WAY SOUTH #101, SEATTLE, WA, 98118, UNITED STATES",TRAN NGUYEN,Active
"KINGSTON CROSSING CHIROPRACTIC, P.S.",602 191 467,WA PROFESSIONAL SERVICE CORPORATION,,DR DAVID BOURREE,Inactive
"KIRKLAND CHIROPRACTIC & MASSAGE, PS",603 082 404,WA PROFESSIONAL SERVICE CORPORATION,"6515 132ND AVE NE, KIRKLAND, WA, 98033, UNITED STATES",THEODORE ALAN WEDELL,Active
"KIRKLAND LIFE CHIROPRACTIC, P.S.",602 397 778,WA PROFESSIONAL SERVICE CORPORATION,"13116 NE 70TH PL, KIRKLAND, WA, 98033-8571, UNITED STATES","FAIRCHILD RECORD SEARCH, LTD.",Active
"KIRKLAND TOTEM LAKE CHIROPRACTIC, INC.",602 602 268,WA PROFIT CORPORATION,"520 PIKE ST STE 2210, SEATTLE, WA, 98101, UNITED STATES",IJAZ KHAN,Inactive
"KITSAP CHIROPRACTORS, PLLC",602 137 978,WA PROFESSIONAL LIMITED LIABILITY COMPANY,"19425 7TH AVE NE STE 103, POULSBO, WA, 98370-5100, UNITED STATES",JAMES RYAN,Active
"KLEIN CHIROPRACTIC, P.C.",601 593 867,WA PROFESSIONAL SERVICE CORPORATION,"4820 YELM HWY STE B262, LACEY, WA, 98503, UNITED STATES",TERESA KLEIN,Inactive
"KLEIN CHIROPRACTIC, P.C.",603 455 729,WA PROFESSIONAL SERVICE CORPORATION,"4720 YELM HWY SE, LACEY, WA, 98503-4986, UNITED STATES",BEAN GENTRY WHEELER & PETERNELL PLLC,Active
KLEIN CHIROPRATIC CLINIC INC,601 415 026,WA PROFIT CORPORATION,,DANIEL J KLEIN,Inactive
"KOCHI RONOOLA TOURS & TRAVEL, LLC",604 272 984,WA LIMITED LIABILITY COMPANY,"16419 261ST AVE SE, ISSAQUAH, WA, 98027-8214, UNITED STATES","UNITED STATES  CORPORATION AGENTS, INC",Administratively Dissolved
KOJIS CHIROPRACTIC P.S.,602 112 441,WA PROFESSIONAL SERVICE CORPORATION,"222 NE PARK PLAZA DRIVE, SUITE 114, VANCOUVER, WA, 98684, UNITED STATES",JOHN D KOJIS,Active
KOLAR CHIROPRACTIC LLC,602 947 615,WA LIMITED LIABILITY COMPANY,"304 GRANT RD #1, EAST WENATCHEE, WA, 98802, UNITED STATES",SCOTT KOLAR,Active
"KOPP CHIROPRACTIC, INC. P.S.",601 437 317,WA PROFESSIONAL SERVICE CORPORATION,,JEFFREY V KOPP,Inactive
KORE CHIROPRACTIC AND REHAB CORPORATION,604 353 287,WA PROFIT CORPORATION,"15350 SE 37TH ST SUITE #100, BELLEVUE, WA, 98006, UNITED STATES",YOUNGJOO KOH,Active
"KRASOWSKI CHIROPRACTIC OFFICES, P.S.",600 279 214,WA PROFESSIONAL SERVICE CORPORATION,,JOHN B KRASOWSKI DC,Inactive
KRISS CHIROPRACTIC PS,602 836 824,WA PROFESSIONAL SERVICE CORPORATION,"27203 216TH AVE SE, SUITE 1, MAPLE VALLEY, WA, 98038-3273, UNITED STATES",PHILLIP KRISS,Active
"KRONLUND CHIROPRACTIC CLINIC, INC., P.S.",600 550 712,WA PROFESSIONAL SERVICE CORPORATION,,TERRY M KRONLUND,Administratively Dissolved
KRUEGER CHIROPRACTIC PLLC,603 461 945,WA PROFESSIONAL LIMITED LIABILITY COMPANY,"100 VALLEY MALL PKWY STE 5, E WENATCHEE, WA, 98802-5348, UNITED STATES",CHRISTOPHER R KRUEGER,Active
"KUDICK CHIROPRACTIC, P.S.",601 646 380,WA PROFESSIONAL SERVICE CORPORATION,"1800 COOPER POINT RD SW, #24A, OLYMPIA, WA, 98502-1039, UNITED STATES",SUZAN KUDICK DC,Active
"KULA CHIROPRACTIC SPORTS & WELLNESS CENTER, INC",603 483 875,WA PROFIT CORPORATION,"410 E JEWETT BLVD, WHITE SALMON, WA, 98672-3002, UNITED STATES","KULA CHIROPRACTIC SPORTS & WELLNESS CENTER, INC.",Active
"KULIK CHIROPRACTIC HEALTH CARE, INC.",602 416 928,WA PROFIT CORPORATION,"317 NW GILMAN BLVD STE 45, ISSAQUAH, WA, 98027-2485, UNITED STATES",NANCY KULIK,Active
"KUN CHIROPRACTIC INC., P.S.",602 782 092,WA PROFESSIONAL SERVICE CORPORATION,,RUSSELL KUN,Administratively Dissolved
"LA CONNER CHIROPRACTIC, PLLC",603 337 002,WA PROFESSIONAL LIMITED LIABILITY COMPANY,,DR NINA WAWRZYNIEC,Administratively Dissolved
"LACKEY CHIROPRACTIC, PLLC",602 819 046,WA PROFESSIONAL LIMITED LIABILITY COMPANY,"19215 SE 34TH ST, SUITE 102, CAMAS, WA, 98607, UNITED STATES",GREGG  LACKEY,Administratively Dissolved
LAIRD CHIROPRACTIC P.S.,602 087 812,WA PROFESSIONAL SERVICE CORPORATION,"714 N CHELAN AVE, WENATCHEE, WA, 98801-2069, UNITED STATES",BRUCE LAIRD,Active
"LAKE MERIDIAN CHIROPRACTIC, P.S.",601 293 767,WA PROFIT CORPORATION,"12901 SE KENT KANGLEY RD, KENT, WA, 98030-7939, UNITED STATES",DANENE M SAGGAU DC,Active
"LAKE TAPPS CHIROPRACTIC, LLC",602 672 954,WA LIMITED LIABILITY COMPANY,"21157 STATE ROUTE 410 E, BONNEY LAKE, WA, 98391-8457, UNITED STATES",CORPORATION SERVICE COMPANY,Active
"LAKE UNION CHIROPRACTIC CLINIC, PLLC",602 573 668,WA PROFESSIONAL LIMITED LIABILITY COMPANY,"2415 2ND AVE #741, SEATTLE, WA, 98121, UNITED STATES",TED STEFFEN,Inactive
"LAKE WASHINGTON CHIROPRACTIC, INC.",602 260 256,WA PROFIT CORPORATION,"11415 SLATER AVE NE STE 105, KIRKLAND, WA, 98033-4656, UNITED STATES",MICHAEL C TAGGART,Active
LAKE WASHINGTON FAMILY CHIROPRACTIC LLC,603 225 818,WA LIMITED LIABILITY COMPANY,"7807 288TH AVE. SE, ISSAQUAH, WA, 98027, UNITED STATES",KIM BEESON,Administratively Dissolved
LAKE WASHINGTON FAMILY CHIROPRACTIC PLLC,603 376 357,WA PROFESSIONAL LIMITED LIABILITY COMPANY,"816 6TH ST S, ISSAQUAH, WA, 98033-6714, UNITED STATES",KIMBERLY HOLZKNECHT,Active
LAKELAND CHIROPRACTIC CLINIC INC.,602 597 777,WA PROFIT CORPORATION,"130 E. CHELAN AVE, CHELAN, WA, 98816, UNITED STATES",BRUCE HURST,Administratively Dissolved
"LAKELAND FAMILY CHIROPRACTIC, P.S.",602 729 537,WA PROFIT CORPORATION,"4220 A ST SE STE 103, AUBURN, WA, 98002-8620, UNITED STATES",JASON HENKE,Active
"LALLY CHIROPRACTIC CLINIC, P.S.",602 648 528,WA PROFESSIONAL SERVICE CORPORATION,"1508 S 36TH AVE, YAKIMA, WA, 98902-4859, UNITED STATES",SCOTT LALLY,Active
"LANE CHIROPRACTIC, INC.",601 483 369,WA PROFIT CORPORATION,"9220 RIDGETOP BLVD NW # 100, SILVERDALE, WA, 98383-8556, UNITED STATES",TONY LANE,Active
"LANGEL CHIROPRACTIC, P.S.",602 413 721,WA PROFESSIONAL SERVICE CORPORATION,"1645 COOPER POINT RD SW, OLYMPIA, WA, 98502-5735, UNITED STATES",BRYSON J LANGEL DC,Active
LANGLEY CHIROPRACTIC CLINIC LLC,602 254 364,WA LIMITED LIABILITY COMPANY,"724 CAMANO AVENUE, LANGLEY, WA, 98260, UNITED STATES",ROBERT ALLEN ROREX,Active
"LARIMER CHIROPRACTIC AND WELLNESS, PS",603 021 486,WA PROFESSIONAL SERVICE CORPORATION,,JESSE LARIMER,Administratively Dissolved
"LARSEN CHIROPRACTIC, PLLC",602 674 828,WA PROFESSIONAL LIMITED LIABILITY COMPANY,"507 KNIGHT ST, SUITE B, RICHLAND, WA, 99352-4258, UNITED STATES",BRIAN LARSEN,Administratively Dissolved
"LAVA CANYON CHIROPRACTIC, LLC",604 586 445,WA LIMITED LIABILITY COMPANY,"1445 COMMERCE AVE STE C, LONGVIEW, WA, 98632-3746, UNITED STATES",KALI GEHRMAN,Active
"LEAHY CHIROPRACTIC, PLLC",602 524 792,WA PROFESSIONAL LIMITED LIABILITY COMPANY,"24837 104TH AVE SE, KENT, WA, 98030, UNITED STATES",MEAGAN LEAHY,Inactive
LEAVITT CHIROPRACTIC CLINIC INC. PS,601 845 152,WA PROFESSIONAL SERVICE CORPORATION,"4200 MERIDIAN ST STE 101A, BELLINGHAM, WA, 98226, UNITED STATES",CLARENCE LEAVITT JR,Active
LEBOWITZ APPLIED KINESIOLOGY & CHIROPRACTIC CLINIC LTD.,604 017 659,WA PROFIT CORPORATION,"1019 REGENTS BLVD #201, FIRCREST, WA, 98466, UNITED STATES",ABC BOOKKEEPING & BUSINESS SUPPORT,Active
LEE & CHA CHIROPRACTIC CENTER PLLC,602 830 418,WA PROFESSIONAL LIMITED LIABILITY COMPANY,"16301 NE 8TH STREET STE 160, BELLEVUE, WA, 98008, UNITED STATES","JUSTIN LEE, DC",Inactive
"LEFT COAST CHIROPRACTIC, PLLC",603 452 871,WA PROFESSIONAL LIMITED LIABILITY COMPANY,"2027 152ND AVE NE STE 100, REDMOND, WA, 98052, UNITED STATES",KIERSTEN LINDELEF,Active
"LEMBKE CHIROPRACTIC CLINIC, P.S.",602 788 277,WA PROFESSIONAL SERVICE CORPORATION,"11015 NE FOURTH PLAIN BLVD STE B, VANCOUVER, WA, 98662-6314, UNITED STATES",SCOTT D LEMBKE DC,Active
LEO FAMILY CHIROPRACTIC PLLC,604 598 429,WA PROFESSIONAL LIMITED LIABILITY COMPANY,"906 W 2ND AVE STE 100, SPOKANE, WA, 99201-4540, UNITED STATES","NORTHWEST REGISTERED AGENT, LLC",Active
LEROY AKRIDGE CHIROPRACTIC CLINIC INC. P.S.,000 064 769,WA PROFESSIONAL SERVICE CORPORATION,,LEROY AKRIDGE,Inactive
"LESHAW CHIROPRACTIC, PLLC",604 296 409,WA PROFESSIONAL LIMITED LIABILITY COMPANY,"17651 1ST AVE S STE 101, NORMANDY PARK, WA, 98148-2715, UNITED STATES",BANYAN LEGAL COUNSEL PLLC,Active
LEVA CHIROPRACTIC PC,602 685 706,WA PROFESSIONAL SERVICE CORPORATION,"4704 PACIFIC AVE SE STE B, LACEY, WA, 98503, UNITED STATES",CAP CITY LAW PS,Active
"LEVINE CHIROPRACTIC, PLLC",602 685 822,WA LIMITED LIABILITY COMPANY,"1220 116TH AVE NE # 101, BELLEVUE, WA, 98004, UNITED STATES",PAUL A. SPENCER,Administratively Dissolved
"LEWIS CHIROPRACTIC HEALTH SERVICES, LLC",604 560 465,WA LIMITED LIABILITY COMPANY,"917 NE 192ND AVE, VANCOUVER, WA, 98684-7537, UNITED STATES",LAURA DYRA,Active
"LEWIS FAMILY CHIROPRACTIC & WELLNESS, PLLC",602 865 014,WA PROFESSIONAL LIMITED LIABILITY COMPANY,"3206 50TH ST CT NW #107, GIG HARBOR, WA, 98335, UNITED STATES",DUSTIN LEWIS,Administratively Dissolved
"LIBERTY LAKE CHIROPRACTIC, INC",602 075 220,WA PROFIT CORPORATION,"2207 N MOLTER RD STE 250, LIBERTY LAKE, WA, 99019-7582, UNITED STATES",DANIEL S CHAMBERLAIN,Active
LIFE AGAIN CHIROPRACTIC PLLC,603 194 723,WA LIMITED LIABILITY COMPANY,"365 RENTON CENTER DR, RENTON, WA, 98075, UNITED STATES",DAVID MERRILL,Administratively Dissolved
"LIFE AND HEALTH CHIROPRACTIC CENTRE, P.S.",602 082 582,WA PROFIT CORPORATION,,JAMES D MOSS,Administratively Dissolved
"LIFE CHIROPRACTIC CENTER, P.S.",602 384 039,WA PROFESSIONAL SERVICE CORPORATION,"3410 WOBURN ST, BELLINGHAM, WA, 98226, UNITED STATES",ZSOLT MILLER,Inactive
"LIFE CHIROPRACTIC CLINIC, INC.",601 729 515,WA PROFIT CORPORATION,,KWANG K LEE,Inactive
"LIFE CHIROPRACTIC, PS",602 021 605,WA PROFIT CORPORATION,,F DAVID HARDY DC,Inactive
LIFE FORCE CHIROPRACTIC LLC,604 138 269,WA LIMITED LIABILITY COMPANY,"1825 SE 164TH AVE STE 118, VANCOUVER, WA, 98683-8602, UNITED STATES",KYLE KURSCHEIDT,Delinquent
"LIFE FORCE CHIROPRACTIC OF POULSBO, INC.",602 617 255,WA PROFIT CORPORATION,"9889 CENTRAL VLLY RD NW, BREMERTON, WA, 98311, UNITED STATES",ERWIN L GEMMER,Inactive
LIFE IN BALANCE FAMILY CHIROPRACTIC PLLC,603 253 848,WA PROFESSIONAL LIMITED LIABILITY COMPANY,"31722 W EUGENE ST, SUITE 6, CARNATION, WA, 98014, UNITED STATES",DR KRISTIAN RAYMOND JOHNSON DC,Active
LIFE SPRINGS CHIROPRACTIC PLLC,603 339 081,WA LIMITED LIABILITY COMPANY,"1501 15TH ST NW STE 102, AUBURN, WA, 98001-3507, UNITED STATES",GREGORY PRIEBE,Administratively Dissolved
LIFE WELLNESS CHIROPRACTIC LLC,602 519 306,WA LIMITED LIABILITY COMPANY,"305 E BROADWAY AVE, MOSES LAKE, WA, 98837-1719, UNITED STATES",SAUL RIBELLIA,Active
"LIFESTYLE CHIROPRACTIC AND MASSAGE, PLLC",603 313 144,WA PROFESSIONAL LIMITED LIABILITY COMPANY,"134 KEENE RD, RICHLAND, WA, 99352-8683, UNITED STATES",PAUL E DODSON,Active
LIFESTYLE CHIROPRACTIC PLLC,604 069 658,WA PROFESSIONAL LIMITED LIABILITY COMPANY,"8805 182ND ST E, PUYALLUP, WA, 98375-6241, UNITED STATES",JAKE HANES,Active
"LIFESTYLE CHIROPRACTIC, P.S.",602 159 407,WA PROFESSIONAL SERVICE CORPORATION,,BARRY GJERDRUM,Administratively Dissolved
"LIGHT FORCE CHIROPRACTIC, LLC",603 522 375,WA LIMITED LIABILITY COMPANY,"6418 117TH AVE NE, LAKE STEVENS, WA, 98258, UNITED STATES",CLAYTON PATTERSON,Active
LINDSAY COLETTE CHIROPRACTIC PLLC,604 259 989,WA PROFESSIONAL LIMITED LIABILITY COMPANY,"2034 MINOR AVE E APT 301, SEATTLE, WA, 98102-7210, UNITED STATES",LINDSAY SMITH,Active
"LIU CHIROPRACTIC, INC.",602 465 438,WA PROFIT CORPORATION,"6605 196TH ST SW, LYNNWOOD, WA, 98036-5923, UNITED STATES",DEAN LIU,Active
LIVE LIFE CHIROPRACTIC CORPORATION,604 468 083,WA PROFIT CORPORATION,"215 N 40TH AVE, RIDGEFIELD, WA, 98642-8260, UNITED STATES",DEVORAH BOTH,Active
LIVE LONG AND PROSPER CHIROPRACTICE LLC,604 258 145,WA LIMITED LIABILITY COMPANY,"4701 AUBURN WAY N, AUBURN, WA, 98002-1312, UNITED STATES",DANIEL LONG,Active
"LIVING WELL CHIROPRACTIC & MASSAGE, INC.",603 431 663,WA PROFIT CORPORATION,"200 WINSLOW WAY W UNIT H, BAINBRIDGE IS, WA, 98110-4929, UNITED STATES",BRIAN KOVARA,Active
"LIVING WELL CHIROPRACTIC INC., PC",602 614 123,WA PROFESSIONAL SERVICE CORPORATION,"1412 E YELM AVE, C 101, YELM, WA, 98597, UNITED STATES",FRAN CARLSON,Active
LIVING WELL CHIROPRATIC CENTER INC,603 307 242,WA PROFIT CORPORATION,,JAE K CHANG,Administratively Dissolved
"LIVING WELL FAMILY CHIROPRACTIC, LLC",603 570 558,WA LIMITED LIABILITY COMPANY,"218 E WOODIN AVE, CHELAN, WA, 98816, UNITED STATES",DR. NATHAN MOLLER,Active
"LIZ FALETTI, CHIROPRACTOR, LLC",603 025 537,WA LIMITED LIABILITY COMPANY,"1409 N PITTSBURGH ST, SUITE B, KENNEWICK, WA, 99336, UNITED STATES",MICHAELFALETTI,Administratively Dissolved
"LIZ FALETTI, CHIROPRACTOR, PLLC",603 321 354,WA PROFESSIONAL LIMITED LIABILITY COMPANY,"1409 N PITTSBURGH ST, STE B, KENNEWICK, WA, 98336, UNITED STATES",WILLIAM L HAMES,Active
LOCKHART CHIROPRACTIC,,NAME RESERVATION,,,Inactive
LOCKHART CHIROPRACTIC INC,604 359 077,WA PROFIT CORPORATION,"1410 N MULLAN RD STE 100, SPOKANE VLY, WA, 99206-4045, UNITED STATES",LOCKHART CHIROPRACTIC CLINIC INC,Active
"LOCKWOOD CHIROPRACTIC, LLC",602 736 994,WA LIMITED LIABILITY COMPANY,"511 E MAGNOLIA ST, #200, BELLINGHAM, WA, 98225-4559, UNITED STATES",CHRISTOPHER  LOCKWOOD,Active
"LONG CHIROPRACTIC CENTER, P.S.",602 266 961,WA PROFESSIONAL SERVICE CORPORATION,"5901 ROOSEVELT WAY NE STE 101A, SEATTLE, WA, 98105-2763, UNITED STATES",GARY W ROSS,Active
"LONGNER CHIROPRACTIC, PC",603 292 799,WA PROFESSIONAL SERVICE CORPORATION,"2004 E UNION ST, SEATTLE, WA, 98122, UNITED STATES",ABIGAIL LONGNER,Voluntarily Dissolved
LOOKING GLASS CHIROPRACTIC LLC,604 137 213,WA LIMITED LIABILITY COMPANY,"20307 VIKING AVE NW, STE 102, POULSBO, WA, 98370-8321, UNITED STATES",CRYSTAL FOLTA,Delinquent
"LOSCH FAMILY CHIROPRACTIC CENTERS, P.S.",601 564 519,WA PROFESSIONAL SERVICE CORPORATION,"21918 112TH AVE E, GRAHAM, WA, 98338-8156, UNITED STATES",GERALD M LOSCH,Active
LOTUS CHIROPRACTIC PLLC,604 499 439,WA PROFESSIONAL LIMITED LIABILITY COMPANY,"1702 NW MARKET ST, SEATTLE, WA, 98107-5224, UNITED STATES",TUYEN NGUYEN,Active
"LOWER VALLEY CHIROPRACTIC, PLLC",602 969 550,WA PROFESSIONAL LIMITED LIABILITY COMPANY,"326 CHARDONNAY AVENUE SUITE #2, PROSSER, WA, 99350, UNITED STATES",DARRYL  COULOMBE,Inactive
LP CHIROPRACTIC CENTER PLLC,602 817 440,WA PROFESSIONAL LIMITED LIABILITY COMPANY,"8811 S TACOMA WAY, #104, LAKEWOOD, WA, 98499, UNITED STATES",CHAN PARK,Inactive
LUCAS CHIROPRACTIC CLINIC LLC,604 337 436,WA LIMITED LIABILITY COMPANY,"903 HOWARD ST, WALLA WALLA, WA, 99362-3326, UNITED STATES",TAX STRATEGIST ENTERPRISES LLC,Active
"LUCAS CHIROPRACTIC, PS",603 266 104,WA PROFESSIONAL SERVICE CORPORATION,"604 WILLIAMS BLVD STE A, RICHLAND, WA, 99354-3207, UNITED STATES",MATHEW R. LUCAS,Active
"LUDWIG CHIROPRACTIC CENTER, P.S.",602 977 191,WA PROFESSIONAL SERVICE CORPORATION,"19950 S PRAIRIE RD E, BONNEY LAKE, WA, 98391, UNITED STATES",ALAN S LUDWIG DC,Active
LUTHER CHIROPRACTIC PS,602 808 520,WA PROFESSIONAL SERVICE CORPORATION,,,Administratively Dissolved
"LUX CHIROPRACTIC,",,NAME RESERVATION,,,Active
"LYNDEN CHIROPRACTIC CLINIC, INC., P.S.",000 077 610,WA PROFESSIONAL SERVICE CORPORATION,,HERBERT NEHRLICH,Inactive
"LYNDEN FAMILY CHIROPRACTIC, LLC",602 689 570,WA LIMITED LIABILITY COMPANY,"105-5TH STREET SUITE 105, LYNDEN, WA, 98264, UNITED STATES",LANE LUXON,Active
"LYNNWOOD CHIROPRACTIC CLINIC, INC., P.S.",602 890 031,WA PROFESSIONAL SERVICE CORPORATION,"6623 196TH ST SW, LYNNWOOD, WA, 98036, UNITED STATES",TIMOTHY L AUSTIN,Active
"LYNNWOOD CHIROPRACTIC CLINIC, P.S.",000 010 270,WA PROFESSIONAL SERVICE CORPORATION,,CLAUDE F FRABLE DC,Inactive
LYNNWOOD FAMILY CHIROPRACTIC PS,602 593 951,WA PROFESSIONAL SERVICE CORPORATION,"16303 HIGHWAY 99 STE 1B, LYNNWOOD, WA, 98087-1453, UNITED STATES",JOHN J SIM,Active
"M CHIROPRACTIC WELLNESS, LLC",602 930 903,WA LIMITED LIABILITY COMPANY,"2505 N 45TH ST, SEATTLE, WA, 98103, UNITED STATES",MARNIE HANSEN DC,Inactive
M.J. BEST CHIROPRACTIC INC.,602 145 491,WA PROFIT CORPORATION,"1832 SCOTT RD STE B1, FREELAND, WA, 98249-9475, UNITED STATES",MARIA J BEST,Active
"M.L. POWERS CHIROPRACTIC, PS",601 812 978,WA PROFESSIONAL SERVICE CORPORATION,"10501 NE HIGHWAY 99 STE 23, VANCOUVER, WA, 98686-5698, UNITED STATES",MITCHELL L POWERS DC,Administratively Dissolved
MACDONALD CHIROPRACTIC LLC,603 383 871,WA LIMITED LIABILITY COMPANY,"14 W GRAVES RD, SPOKANE, WA, 99218-2306, UNITED STATES",RUSSELL MACDONALD,Active
"MAGNOLIA CHIROPRACTIC AND MASSAGE, LLC",602 986 325,WA LIMITED LIABILITY COMPANY,"3150 W GOVERNMENT WAY, #A2, SEATTLE, WA, 98199-1459, UNITED STATES",JOSHUA PENNER,Active
MAIN STREET CHIROPRACTIC P.S.,604 610 166,WA PROFESSIONAL SERVICE CORPORATION,"226 E MAIN ST, PULLMAN, WA, 99163-2619, UNITED STATES",JONATHON VIA,Active
"MAIN STREET CHIROPRACTIC SERVICES, P.S.",601 605 734,WA PROFIT CORPORATION,,LEONARD SEMENEA,Inactive
MAISON FAMILY CHIROPRACTIC INC PS,602 812 889,WA PROFESSIONAL SERVICE CORPORATION,"3907 CREEKSIDE LOOP SUITE 150, YAKIMA, WA, 98902, UNITED STATES",PAUL MAISON,Administratively Dissolved
"MAPLE VALLEY CHIROPRACTIC AND MASSAGE, P.S.",603 133 292,WA PROFESSIONAL SERVICE CORPORATION,"23220 MAPLE VALLEY BLACK DIAMOND RD SE STE 13, MAPLE VALLEY, WA, 98038-8249, UNITED STATES",DR RYAN DONOVAN DC,Active
MAPLE VALLEY CHIROPRACTIC PLLC,602 759 653,WA PROFESSIONAL LIMITED LIABILITY COMPANY,"22224 SE 272ND ST, MAPLE VALLEY, WA, 98038-7420, UNITED STATES",GUY THOMSON,Administratively Dissolved
MARC-ANTHONY CHIROPRACTIC CLINIC PS,602 902 098,WA PROFESSIONAL SERVICE CORPORATION,"12811 8TH AVE W STE B-103, EVERETT, WA, 98204, UNITED STATES",MDK LAW,Active
MARCONI CHIROPRACTIC AND WELLNESS L.L.C.,604 005 527,WA LIMITED LIABILITY COMPANY,"1002 MARTIN LUTHER KING JR WAY, TACOMA, WA, 98405-4150, UNITED STATES",MICHELLE MARCONI,Delinquent
"MARINA PARK CHIROPRACTIC, P.S.",603 085 439,WA PROFESSIONAL SERVICE CORPORATION,"218 MAIN ST #553, KIRKLAND, WA, 98033, UNITED STATES",KEVIN LEATHERS,Administratively Dissolved
MARINER CHIROPRACTIC INC. P.S.,602 316 801,WA PROFESSIONAL SERVICE CORPORATION,"9621 MICKELBERRY RD NW STE 108, SILVERDALE, WA, 98383-8301, UNITED STATES",COREY  FINDLAY,Active
"MARKET PLACE CHIROPRACTIC WELLNESS CENTER , PLLC",602 847 139,WA PROFESSIONAL LIMITED LIABILITY COMPANY,"9633 MARKET PL STE 103, LAKE STEVENS, WA, 98258, UNITED STATES",DR JEFFREY P CLARK,Active
"MARKET PLACE CHIROPRACTIC, PS",602 678 708,WA PROFESSIONAL SERVICE CORPORATION,"2107 ELLIOTT AVE STE 203, SEATTLE, WA, 98121-2138, UNITED STATES",JEFF D BOWERS DC,Active
"MARSCHALL CHIROPRACTIC OFFICES,INC.",601 779 676,WA PROFIT CORPORATION,,SKYE MARSCHALL,Inactive
"MARSH CHIROPRACTIC, P.S.",601 871 188,WA PROFESSIONAL SERVICE CORPORATION,"20536 108TH AVE SE, KENT, WA, 98031-1542, UNITED STATES",TREASURER,Active
"MARTHA LAKE CHIROPRACTIC CLINIC,PLLC",602 519 050,WA PROFESSIONAL LIMITED LIABILITY COMPANY,,JEUDI BOULOM,Inactive
"MARUHA NICHIRO MEAT AND PRODUCTS USA, INC.",604 201 652,WA PROFIT CORPORATION,"2111 S 67TH ST STE 300, OMAHA, NE, 68106-2882, UNITED STATES","NATIONAL REGISTERED AGENTS, INC.",Active
